"label","xmin","xmax","imin","imax"
"-z",1.42242009609358,14.5369316203607,13,117
"-y",24.6250174082585,40.1606695216211,199,322
"+x",49.8452318780029,61.7491731077223,400,494
"-x",72.8460674744099,89.5922898823202,584,717
"+y",98.4698053756702,112.391363762969,789,900
"+z",123.084734698141,137.208054801198,986,1098
