tag-local-identifier,individual-local-identifier,timestamp,acceleration-axes,acceleration-sampling-frequency-per-axis,accelerations-raw
26147,cal,2025-02-21 14:56:16.566,XYZ,8.0,0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060
26147,cal,2025-02-21 14:56:21.566,XYZ,8.0,0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060
26147,cal,2025-02-21 14:56:26.566,XYZ,8.0,0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 0.000 0.060 0.970 0.030 0.060 0.970 -0.030 0.030 1.030 -0.030 0.060 1.000 0.060 0.090 0.940 0.160 0.090 0.910 0.280 0.090 0.880 0.340 0.060
26147,cal,2025-02-21 14:56:31.566,XYZ,8.0,0.840 0.470 0.060 0.880 0.500 0.060 0.910 0.530 0.060 0.910 0.690 0.060 0.810 0.630 0.090 0.720 0.630 0.130 0.590 0.810 0.060 0.410 0.840 0.130 0.250 0.910 0.190 0.130 1.030 0.220 0.060 1.000 0.220 -0.060 1.060 0.190 -0.220 1.130 0.160 -0.160 1.030 0.130 -0.190 0.910 0.160 -0.220 1.130 0.090 -0.220 0.940 0.090 -0.340 1.060 0.160 -0.310 1.030 0.130 -0.440 0.970 0.130 -0.220 0.840 0.060 -0.410 1.030 0.310 -0.560 0.840 0.280 -0.530 0.690 0.280 -0.590 0.750 0.340 -0.690 0.500 0.280 -0.810 0.280 0.280 -0.810 0.280 0.310 -0.940 0.220 0.310 -0.940 0.190 0.310 -0.910 0.130 0.250 -0.910 0.060 0.250 -0.940 0.030 0.250 -0.940 0.060 0.250 -0.910 -0.030 0.220 -0.880 0.000 0.220 -0.970 0.060 0.380 -0.880 0.000 0.160 -0.910 0.000 0.190 -0.880 0.030 0.160
26147,cal,2025-02-21 14:56:36.566,XYZ,8.0,-0.910 0.060 0.160 -0.910 0.060 0.190 -0.970 0.130 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.090 0.130 -0.910 0.130 0.130 -0.910 0.060 0.160 -0.880 -0.030 0.160 -0.910 0.000 0.160 -0.910 0.060 0.160 -0.910 0.130 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.880 0.000 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.130 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160
26147,cal,2025-02-21 14:56:41.566,XYZ,8.0,-0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160
26147,cal,2025-02-21 14:56:46.566,XYZ,8.0,-0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160
26147,cal,2025-02-21 14:56:51.566,XYZ,8.0,-0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160
26147,cal,2025-02-21 14:56:56.566,XYZ,8.0,-0.910 0.060 0.160 -0.910 0.030 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.060 0.160 -0.910 0.030 0.160 -0.940 0.030 0.090 -0.910 0.030 0.130 -0.940 0.060 0.160 -0.940 0.090 0.160 -0.880 0.220 0.130 -0.780 0.410 0.190 -0.780 0.410 0.190 -0.780 0.750 0.160 -0.720 0.660 0.130 -0.810 0.720 0.130 -0.750 0.590 0.090 -0.590 0.660 0.130 -0.530 0.630 0.130 -0.380 0.970 0.160 -0.250 1.000 0.190 -0.190 1.030 0.190 -0.130 1.130 0.190 -0.060 1.160 0.190 0.000 1.090 0.190 -0.060 1.130 0.190 0.030 1.030 0.190 0.060 1.060 0.220 0.000 1.030 0.160
26147,cal,2025-02-21 14:57:01.566,XYZ,8.0,0.060 1.090 0.160 0.000 1.030 0.090 0.030 1.060 0.090 0.000 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.030 1.060 0.130 0.030 1.060 0.130 0.000 1.060 0.130 0.000 1.060 0.130
